GEM location ID,bus_id
L100001004219,gen0
L100001004207,gen2
L100000823311,gen1
L100000805821,gen0
L100000806858,gen1
L100000806549,gen3
L100000805732,gen1
L100000823803,gen1
L100000823836,gen3
L100000806324,gen3
L100001004229,gen1
L100001004235,gen1
L100001004271,gen1
L100001004231,gen1
L100000806014,gen0
L100001004256,gen2
L100000823907,gen2
L100000823909,gen2
L100000805790,gen4
L100000805820,gen0
L100001004216,gen2
L100000823935,gen2
L100000823939,gen1
L100001042901,gen1
L100000823955,gen1
L100001004244,gen1
L100000823983,gen1
L100000824003,gen1
L100000824004,gen1
L100000824005,gen1
L100000824007,gen1
L100000824011,gen1
L100000824012,gen1
L100001004236,gen2
L100000822786,gen3
L100000822787,gen2
L100000822788,gen2
L100000822790,gen2
L100000822792,gen2
L100000822794,gen2
L100000822795,gen2
L100000822796,gen2
L100000822797,gen2
L100000822798,gen2
L100000822799,gen1
L100000822801,gen4
L100000822802,gen4
L100000822804,gen4
L100000822805,gen4
L100000822806,gen4
L100000822807,gen4
L100000822808,gen4
L100000822809,gen4
L100000822810,gen4
L100000822811,gen4
L100000822812,gen4
L100000822813,gen4
L100000822814,gen4
L100000822815,gen4
L100000822816,gen0
L100000822817,gen0
L100000822818,gen0
L100000822819,gen0
L100000822820,gen0
L100000822821,gen0
L100000822822,gen0
L100000822823,gen0
L100000822824,gen1
L100000822828,gen1
L100000822829,gen1
L100000822830,gen1
L100000822831,gen1
L100000822832,gen1
L100000822834,gen1
L100000822835,gen1
L100000822837,gen1
L100000822838,gen1
L100000822839,gen1
L100000822842,gen4
L100000822843,gen1
L100000822844,gen1
L100000822845,gen1
L100000822847,gen1
L100000822848,gen1
L100000822850,gen1
L100000822851,gen1
L100000822852,gen1
L100001003886,gen2
L100000822854,gen4
L100000822855,gen1
L100000822858,gen1
L100000822859,gen0
L100000822861,gen1
L100000822862,gen0
L100000822866,gen0
L100000822868,gen1
L100000822869,gen2
L100000822871,gen1
L100000822872,gen2
L100000822873,gen2
L100000822874,gen2
L100000822875,gen0
L100000822877,gen1
L100000822878,gen1
L100000822879,gen1
L100000822880,gen1
L100001003888,gen4
L100000822883,gen2
L100000822884,gen1
L100000822885,gen1
L100000822886,gen1
L100000822887,gen0
L100000822888,gen1
L100000822889,gen1
L100000823294,gen1
L100000823728,gen0
L100000822891,gen2
L100000822892,gen2
L100000822893,gen4
L100000822895,gen0
L100000822896,gen0
L100000822897,gen0
L100000822899,gen4
L100000822900,gen1
L100000822901,gen1
L100000822903,gen0
L100000822904,gen0
L100000822905,gen3
L100000822908,gen3
L100000823180,gen0
L100000823310,gen1
L100000823807,gen0
L100001003889,gen1
L100000822910,gen4
L100000822911,gen4
L100000822912,gen0
L100000822913,gen4
L100000822914,gen4
L100000822915,gen4
L100000822917,gen4
L100000822918,gen4
L100000822919,gen0
L100000822922,gen0
L100000822923,gen0
L100000822924,gen0
L100000822925,gen0
L100000822926,gen1
